Date,ACC,AUBANK,ADANIPORTS,ADANIPOWER,ADANITRANS,ABCAPITAL,ABFRL,AJANTPHARM,ALKEM,AMARAJABAT,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,AUROPHARMA,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BALKRISIND,BANDHANBNK,BANKBARODA,BANKINDIA,BATAINDIA,BERGEPAINT,BEL,BHARATFORG,BHEL,BPCL,BHARTIARTL,INFRATEL,BIOCON,BBTC,BOSCHLTD,BRITANNIA,CESC,CADILAHC,CANBK,CASTROLIND,CHOLAFIN,CIPLA,CUB,COALINDIA,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DLF,DABUR,DALBHARAT,DIVISLAB,DRREDDY,EDELWEISS,EICHERMOT,EMAMILTD,ENDURANCE,ENGINERSIN,ESCORTS,EXIDEIND,FEDERALBNK,FORTIS,FCONSUMER,FRETAIL,GAIL,GMRINFRA,GICRE,GLENMARK,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GRAPHITE,GRASIM,GSPL,HEG,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HUDCO,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,IDBI,IDFCFIRSTB,ITC,IBULHSGFIN,IBVENTURES,INDIANB,INDHOTEL,IOC,IGL,INDUSINDBK,NAUKRI,INFY,INDIGO,IPCALAB,JSWENERGY,JSWSTEEL,JINDALSTEL,JUBLFOOD,JUBILANT,KOTAKBANK,L&TFH,LTTS,LICHSGFIN,LTI,LT,LUPIN,MRF,MGL,M&MFIN,M&M,MANAPPURAM,MRPL,MARICO,MARUTI,MFSL,MINDTREE,MOTHERSUMI,MPHASIS,MUTHOOTFIN,NATCOPHARM,NBCC,NHPC,NMDC,NTPC,NATIONALUM,NESTLEIND,NAM-INDIA,OBEROIRLTY,ONGC,OIL,OFSS,PIIND,PNBHOUSING,PAGEIND,PETRONET,PFIZER,PIDILITIND,PEL,PFC,POWERGRID,PRESTIGE,PGHH,PNB,QUESS,RBLBANK,RECLTD,RAJESHEXPO,RELIANCE,SBILIFE,SRF,SHREECEM,SRTRANSFIN,SIEMENS,SBIN,SAIL,STRTECH,SUNPHARMA,SUNTV,SYNGENE,TVSMOTOR,TCS,TATACONSUM,TATAMTRDVR,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,NIACL,RAMCOCEM,TITAN,TORNTPHARM,TORNTPOWER,UPL,ULTRACEMCO,UNIONBANK,UBL,MCDOWELL-N,VGUARD,VARROC,VBL,VEDL,IDEA,VOLTAS,WHIRLPOOL,WIPRO,ZEEL
2020-06-05,-125195.49560506696,-120797.73851565018,185948.1192245859,-126219.53317009607,-124997.97689634643,-126592.02980650794,-144629.54467996824,-125267.37191532466,-124816.41189649362,627682.8761545263,-126243.38441258315,721791.5852396006,439465.4579843778,-127911.85158964251,-118754.30559239889,-125322.83722666466,439465.4579843778,-124044.59959327627,-125303.26407981382,-132389.33414830672,-126176.4775138485,-134427.8716105272,251248.03981422927,4212.678465909359,-127651.40636710211,-123346.60344866956,-124130.91762494086,-117232.6084485697,-123931.56996904469,-126453.43328511737,-123485.27082791395,1229978.6142990016,-119074.46997452017,-126277.54850726432,-126247.5723962343,-67722.65139743609,439465.4579843778,-126183.23632849017,-124221.2994510637,-125706.22771841659,-127375.99760324464,121848.5648222522,-138344.70199378426,-126668.03149976289,110084.97618661793,-125301.26587101155,-124307.10815237256,704506.3121423419,1568769.9670052691,-133689.8241538889,-125301.55673384164,-127354.23036613711,-125081.46766632343,-123662.90637062097,-124901.4150175019,-125395.9836705581,-124127.72484543646,-124073.98429161783,-127103.03043785972,-78132.44198353059,-124326.34801482793,-124612.71167675043,1051172.0670373605,-123673.45452232212,721791.5852396006,251248.03981422927,1004117.7124948232,82236.4806410347,-125553.07766591663,-125564.6060842987,-124964.50804394149,-125384.61464983627,-123239.17485480635,721791.5852396006,-125914.51208910851,-108097.03330651995,-125187.5209795309,358800.8501971713,-96396.90510078955,-127581.92941202283,157139.33072915502,-123263.3332882651,-125707.13629295131,-125913.7251605229,-125495.90655981263,-134324.93637470517,-126485.45790411884,484637.63834521343,-125176.90013247743,627682.8761545263,-127087.24419556255,-123752.29913327655,-121680.02382758539,404174.69207747496,-124825.23389015233,-115082.22553889148,-126977.91176212148,-126060.10703632986,-124408.02214565496,-123831.8634734965,-118698.03732458568,-124890.74293313372,10329.744556439224,1084782.3202820297,-125020.36607635257,13095.388252000552,-125254.18133976831,-104944.66738933104,-125263.96730437396,-132651.3323375296,-126269.17521449167,-116641.04104128481,-125032.02648748517,-119263.11355011043,-123476.99639725516,-129916.53691578629,-125429.07519369092,-132188.56009069298,-125166.31035536286,-125469.63437769549,-125272.39267838789,1004117.7124948232,933536.1806810177,-122596.26111886479,-123797.9658097368,-121618.21243965051,416879.36780396005,-124980.30475997388,-125390.7884660163,-127217.80726265273,-124902.39119073757,157139.33072915502,-124515.85452872251,-122271.34733775356,-125429.58051141982,-126141.37076620317,-125159.66479438453,-125205.7772680289,-125286.1412072032,-129822.18628872099,227720.86254296073,-124593.64786664589,-123459.882631021,-125113.11529240702,-125179.20527591603,-125164.56496961198,-122735.74477543354,-122010.27103264125,-89896.03061916487,220518.66541910302,-125358.29696194951,721791.5852396006,-122023.34498163222,-125583.7354241813,-125569.55108194156,-138842.3054331369,780609.5284177719,-107466.23377877958,-125186.79652606769,-120460.11927756702,-125257.05017682062,-125614.79804186185,213604.5561801996,63030.62164408078,-97377.16625270435,-124000.77828645124,-125221.7695754581,-126456.50781657419,-126942.7355427847,-125129.51258543356,-125174.55031557873,-103070.93729558481,-125223.12273442438,-124238.39370078656,-124627.06507328924,-125072.96016320695,-127614.47820261214,721791.5852396006,-129660.04445837176,-125161.02315866662,-125168.89273572866,-117652.87347361053,-125135.63609697089,-123306.11776301872,-124338.66816842827,-126049.11795646512,-125186.42305895366,-125109.81575524736,-124530.9201158827,-110186.65840981355,-123060.69253233133,-125214.35557604472,-124035.02153777363,721791.5852396006,-124803.5393710707,-131762.24803022845,-110060.50901594157,-124618.95857683913,-124765.30429263957,-125563.36982999949,-117636.08986552797
2020-06-08,-130027.37743660694,-126943.91368620381,-68778.97807046982,-129681.6229710622,-129800.1080249776,-124862.23424981702,-122878.30537468643,-129859.17697295795,-133575.32121823676,-46746.11047781663,-132091.9905514975,243918.25814833897,202394.776916031,-107004.8087113456,-129878.25817855757,-128507.33491011782,368488.7018452627,-127401.22718124323,-129254.40586317066,-128602.59684346333,-129756.60525735795,-71582.7169816255,202394.776916031,1126292.2343348826,-101711.89027056913,-129813.54572512828,-129797.5120549484,-129786.0582991932,-129833.1652642504,-129070.3709443361,-130112.38015292947,468145.05680280185,-130348.53992133649,-135672.96500064098,-129352.25353454771,-129805.72674996004,1115911.3640268059,-129708.72672446408,-129617.22580824804,-129164.28519104503,-115168.04812821676,378869.57215333986,-129394.37259254826,-128788.2535510663,243918.25814833897,-129410.3219722228,-129914.05735058016,1151502.919368784,1365052.2514206534,-129691.6442529815,-129572.18174681754,-130371.4897314427,-129787.79220833447,-129860.40453493372,-127852.73117823417,-129832.37348198371,-129309.47516214853,-129796.8678661996,-113154.37384142732,202394.776916031,-130400.0088972666,-128517.72070276368,77824.3332191072,-127874.17558116507,1365052.2514206534,202394.776916031,866770.476632958,1151502.919368784,-127900.65195492626,-120344.7734981826,-130331.90684228431,-117050.29542153547,-129204.86389961009,243918.25814833897,-130241.32516933435,-121755.73954026758,-129968.85786498757,53249.21167345553,-61698.50187468772,-129316.68575376786,57062.59260295323,-128813.40395770842,-129833.95923445166,-129692.15559147338,-129797.29762402305,176650.3258123571,-130496.80743278033,767114.121675419,-129358.1116372179,337346.09092103184,-122056.35249302482,-129787.65854309342,-130583.24246675045,-25984.36986166265,-129382.21918658125,-117099.84918110774,-108991.5704562784,-129693.67225190133,-128184.98693448903,-124870.30574936415,-105087.16803824983,-111137.62276089672,826907.9346499427,-38271.93063448848,-128053.08380122762,480347.8757771944,-129814.5510819989,-128870.39286020497,-129953.9411875366,-118440.71420130602,-129741.43924433405,-131296.4101360894,-129650.91547227104,-126775.39179584269,-129763.06737206265,-110005.96538443674,-126234.48328483387,-134435.67264088755,-129715.66679959944,-128867.50257953329,-129508.066541149,1365052.2514206534,77824.3332191072,-129588.58045712604,-129824.09300207483,-129793.18039888241,228969.80490470811,-129498.15675944778,-129831.54411590788,-130220.85262725518,-129369.7767734719,243918.25814833897,-129747.5742979116,-129763.7811129004,-129453.42476399429,28689.625960462068,-129705.67055241101,-125475.10558046357,-130595.43650851397,-102686.75790330398,-25984.36986166265,-121179.50493831249,-129146.05086530553,-126716.83610120462,-129269.05401808863,-129757.07647217457,-127998.77605452405,-132962.3881254846,119347.81445141512,480347.8757771944,-129781.49699853787,1365052.2514206534,-130946.01283289593,-127243.20429794426,-132746.69515230978,-127219.3628194205,-46746.11047781663,-92667.35160808761,-110024.34952952144,-128006.85123755285,-127441.80593949581,-118484.67065306839,-69999.25996790905,119347.81445141512,-135428.51749268768,-129548.36249731597,-129387.07739667372,-130342.70956922718,-94504.28519966041,-102235.47939751684,-124763.80448923491,-129428.15612127174,-129587.77349565801,-129789.1631306525,-129953.51046456578,-129076.85010827074,-129445.728394563,1365052.2514206534,-39108.96086637941,-130103.875075274,-126743.70663251563,-129932.40032462159,-125581.22599748686,-130318.32287357666,-128780.083616035,-129787.19253973203,-116191.52265833179,-133413.63390597346,-130217.38978310177,-127045.97066781815,-103554.90053026586,-129642.96567649518,-129769.4216678979,866770.476632958,-129828.48946565401,-129861.51979565938,64203.12637691387,-129843.14729377066,-129743.37349986327,-129711.05483783627,-129666.68010784323
2020-06-09,-125258.33275213897,-125950.77903750108,-62784.305361210114,-124484.55907407272,-128066.8274488504,-125806.93807602809,-125135.57616065725,-125687.08403504334,-125995.40768155502,131256.7656593709,-124258.53035477028,645203.3862003693,559545.6161102029,-112209.05740359401,-125795.42565646398,-125615.86914504674,45598.99556920451,-123878.01186647556,-125751.27761943726,-125955.48550152789,-125936.77012696928,-124864.48241669605,45598.99556920451,1416123.317011867,-131033.15026521619,-125951.55179414059,-124683.31728132998,-128967.42188141053,-125746.0675452302,-119907.57114789331,-125892.15182808103,1107755.3446872681,-125624.21003618835,-123421.08423539394,-124309.74990069986,-123706.03384707108,559545.6161102029,-124284.17345639222,-123065.57338917052,-126095.26156782974,-133173.58112054237,816518.9263807021,-124427.41633358758,-125363.14862836195,-40058.774520961895,-125918.1832033491,-125809.75989591495,503605.84788805345,1416123.317011867,-125313.11366446897,-127192.60666213492,-126975.47882754148,-126069.87153899386,-125398.4912327861,-132524.780695201,-126450.74784479119,-125538.03295646042,-125760.38988146385,-127921.61262512498,88427.88061428773,-126494.63603976324,-125066.84561123786,131256.7656593709,-124500.1910921546,645203.3862003693,902176.6964708685,902176.6964708685,1007063.7618873987,-132261.51511508354,-50860.21735709264,-125896.76887686084,-121011.40602968368,-125676.35766794939,645203.3862003693,-125743.8980895492,-125211.50199187476,-122580.22569082366,755334.8048877261,-124627.26556902552,-125648.077338806,163378.42944318333,-131442.32937441088,-125537.0796639936,-128273.0870714272,-125990.15187442815,-113995.818449859,-128423.72458302153,120977.833248551,-126094.9194730461,174085.65070445414,-120372.44208740926,-125811.39385414962,-125996.37885103485,67013.43809174612,-125736.8407406065,-128122.83644400597,-118123.45419782407,-127499.01784880609,-41129.223492437544,-124612.04811934537,-126302.45116545503,-145831.53016741207,429345.80557315,-62784.305361210114,-118404.78385705451,975597.6422624397,-125750.69064541942,-118337.14519401052,-125835.93837797234,-118506.91995623498,-123849.94850796547,-122690.41769144544,-125526.82628791976,-125396.11077299246,-125435.82729888188,-125771.80031811654,-125851.1500375813,-125509.35945344208,-125722.47427938032,-125629.67246597953,-126046.74676779595,1416123.317011867,-18644.331998420283,-126039.77215179379,-125408.55365704875,-126082.98476424503,491019.40003806987,-125132.51139192525,-125231.85390926419,-125863.28306091948,-125613.57091178506,131256.7656593709,-125853.67747380827,-126316.47220650666,-113828.50663314418,-123420.00822860534,-125782.66807172648,-120121.08595108261,-125731.55618237662,-125918.36005733804,141963.98692064176,-130540.56724967851,-123641.41391941298,-127017.03518245506,-127540.16501971662,-126487.86903813157,-128021.25445878689,-126251.27787372946,-40058.774520961895,157478.53201350346,-125571.19705152397,645203.3862003693,-120615.93529186255,-125646.00735294721,-125828.35817486024,-121606.36192111987,548838.3948489322,-134291.4197903097,-131400.97195857958,-107363.64828257362,-123871.71645862547,-124732.15054000204,-2369.3556812886463,2770.1105241213063,-125474.7089982099,-121255.19212733136,-127015.62038475988,-122894.08696736183,-126433.19650197007,-129199.26139993794,-126119.32129057319,-128013.24388417286,-129235.09652093273,-125938.95548668256,-122729.4578959499,-125792.28975998444,-125616.00179303638,1052077.7941286596,-125604.7592147293,-119644.86976765849,-125689.06788385812,-125167.61059159775,-48164.55628937588,-121435.58390618471,-115298.47507044965,-125707.68745671104,-125250.37799812377,-124735.54511400583,-123038.46617444896,-134467.06047378367,-125102.36612224633,-125710.5672046985,-124432.54787675805,1159150.006741368,-128113.43975284664,-122202.1278871851,-95654.29811068533,-124565.79418868212,-125489.59927485738,-126345.05353902202,-122677.25794688215
2020-06-10,-123362.3016271582,-125423.87687364906,130388.98161985425,-123527.55405709277,-97158.15531897711,-117747.98377934871,-110968.75162029403,-124219.1593117857,-123309.73151978284,135688.95828585268,-122599.03499340692,265538.3866028139,568520.3860090567,-123888.60430246482,-124292.91753128916,-124072.19925910459,49122.67274121186,-121776.67376865646,-123898.83142954399,-120966.13402143639,-122885.72157794515,-124002.00573548878,49122.67274121186,784936.099870659,-123774.16453158356,-122603.90980142711,-123158.92253164061,-119816.02141592588,-120762.48351066915,-120111.28199314306,-105173.22222284939,125301.00402049583,-122108.01294194067,-123827.67007709116,-123945.21038821766,-123125.20133164953,308821.5293751343,-123797.01569656337,-108556.69349914922,-123802.82475706445,-124538.03768146706,352104.6721474547,-124085.17464738402,-124204.11444587773,308821.5293751343,-123699.71731861468,-125118.91889323565,66789.26162787323,1434183.241455465,-125399.63125663812,-121141.06982833214,-123664.4086882845,-124278.21427062193,-123712.79213231122,-124015.401489396,-121849.63524132801,-120328.60872198887,-123842.33853667589,-123056.07185937531,135688.95828585268,-123950.72622108345,-120517.71057491915,741652.9570983384,-123933.43597715408,1434183.241455465,914785.5281876201,914785.5281876201,66789.26162787323,-119516.80587172357,-124010.34212344975,-123619.86178266969,-124498.13863585847,-123943.95253439482,655086.6715536976,-124748.09266040743,-139883.5485697548,-121478.14969427175,988985.201511598,-123992.49021205111,-125388.48319368748,222255.24383049345,-120563.56997502514,-120569.59691903064,-123854.43956461233,-124333.26363464049,-126673.55105928559,-124076.8325376298,125301.00402049583,-123787.14281306551,633445.1001675375,-126206.09037672731,-124485.75776336393,-116110.40230557165,1174484.3848215425,-123159.39939563007,-122138.46821512928,-123947.20554662046,-124026.02224476752,-147803.87030268883,-123763.15829259685,-129047.18930399026,-127223.18093754737,125301.00402049583,66789.26162787323,-119781.7819448718,988985.201511598,-123857.78644311531,-125549.64896153437,-123625.05902534959,-121732.49139703052,-122777.03512950294,-122037.0709127093,-123590.85419581184,-136369.31389033937,-121488.43945114243,-122417.01092913687,-126984.40077612415,-121133.83709871945,-124003.22456344179,-123792.4136653011,-124763.97912460151,1434183.241455465,752473.7427914186,-123543.01690151385,-124662.31712875841,-123932.47880487575,1434183.241455465,-124038.92028119136,-122986.1511623465,-122397.43555155363,-132971.7690228747,914785.5281876201,-123581.12658751172,-114068.75525938818,-124177.4009026358,-154070.94155197983,-123621.23683501952,-123409.65284037161,-123729.82329541128,-123008.4906917389,70764.24412737208,-115315.60412725605,-124077.63224550252,-123684.94533409242,-124019.0221905292,-123582.1470633362,-124023.78702032934,-131031.66505896796,-15802.041417268741,257588.42160381624,-124112.4381345577,655086.6715536976,-124129.52455865566,-124026.36869774018,-123291.32721013547,-123826.23572139515,-59085.18418958917,-128835.86493150938,-126747.44303985365,37221.77357115762,-128080.91759622082,-123485.52168817363,436939.63198120263,233076.0295235736,-123852.43621870253,-123136.26655707957,-122367.36583188068,-123487.13878714296,-123356.42149458382,-121422.06899050606,-122175.5826456968,-124942.74627265755,-123056.68026492227,-114432.16101325942,-123878.25197850894,-124160.41631424888,-124146.64467086521,-102368.32696190961,-126398.60118207158,-122773.14692643697,-124718.91627299928,-123523.6370559845,-124624.76706470533,-123290.64432507833,-126343.8159103611,-124047.36870769062,-121578.69770342103,-122375.57936434932,-123922.14159663828,-124778.10672540135,-122917.7700757869,-124786.33842435486,-123406.12306048973,5839.529968891455,-124377.92370006687,-123250.82113776404,-309290.2561905254,-122122.60665869959,-123954.66958697671,-122826.17817289542,-119800.56192710149
2020-06-11,-126810.83525009744,-125876.49671192057,142593.80853049344,-126118.21758309666,-115511.45673860723,-125842.48177366468,-124323.64168109205,-126243.44504088798,-126253.82756103575,788359.4257563305,-127122.25330425343,285371.46667435626,605454.7133628852,-127197.28251886331,-125683.96702994025,-126301.10546733445,239645.28857599493,-126102.71128995279,-124612.95691975165,-125861.03132021053,-125570.31780643338,-124748.80104767048,422550.0009694401,1519978.275330111,-125999.74167683288,-126944.04267681789,-126144.0832955747,-126130.19423667114,-125918.06513536445,-119102.53179389048,-126215.08441964096,268910.0425589462,-126145.21210882424,-128076.54760134612,-126743.37205861605,-121005.0971963942,56740.576182549805,-125497.01088680032,-126372.63827491201,-124816.92604712704,-120109.48859661588,285371.46667435626,-122290.9175352115,-126160.39283175125,216782.19952681434,-125758.87132514079,-125116.37849622325,176188.55162316703,1519978.275330111,-171097.15907192492,-126166.29660682328,-125528.79436449947,-125837.63748451295,-126120.96337711716,-125555.03735021608,-126009.10800178973,-125885.88521374315,-126103.6192923067,-124861.85450996018,1245621.2067399435,-120099.58182655842,-125883.18231993336,696907.0695596079,-125403.17975152738,1519978.275330111,239645.28857599493,1519978.275330111,108999.06543781985,-126164.26784471242,-125289.13529443243,-126020.75703126025,-126218.27934104914,-125013.0048179648,696907.0695596079,-125591.07572418796,-124776.8772129656,-126108.19637591354,713704.4411059447,-126529.80007230693,-126030.48050355543,102466.75428091112,-126177.25102328742,-126036.84442200302,-127426.43825104453,-124631.30723919072,-125865.03176549387,-127587.39028504197,137218.64963566573,-126362.01494294277,193919.1104776337,-126129.84490885006,-126537.09973243673,-126553.37542932088,-34711.780014172764,-126316.23313870149,-126059.57484766006,-123065.29541711711,-125952.2138781677,-114948.18753449402,-128165.69680125787,-107162.43878257228,-119047.73031610393,532292.8284055073,680109.698013271,-49577.26854202988,108999.06543781985,-126138.97173258467,-123933.69675211843,-129319.45944176908,-126157.52763280322,-126165.01974858316,-124658.70489729368,-126518.83561684693,-121298.91400432496,-126858.87581032935,-125794.71735478737,-123508.58554448692,-120297.7271981557,-126118.63365698596,-125506.51650810617,-126350.63781990967,422550.0009694401,251076.83310058527,-126158.98542541888,-124363.83030034325,-125777.10283936899,663984.2213287876,-126203.6666122382,-126109.4451167786,-125170.33884759736,-125269.88387676618,-80437.95811253406,-126421.76279387038,-113580.34770049782,-125332.05973632024,-112424.01049608133,-126172.8324666123,-124293.58091352675,-125938.89132572466,-126021.61385576795,788359.4257563305,-123891.13595142277,-127726.69765704012,-124332.08396799587,-130390.1827818358,-125889.93307577664,-125538.43910383194,-124312.87825701089,33877.48713336918,276972.7809011878,-126060.71101286744,696907.0695596079,-123359.14229767639,-125638.32226367661,-126137.58430633944,-124070.78359552927,1005558.7717235464,-110831.8036132626,-125512.97939097043,130824.50824316326,-125206.0684428515,-126220.23523772284,203064.34609730594,-69006.41358794372,-126326.6964276998,-126681.64407832496,-118027.01058351832,-124853.68919644631,-126073.89502796055,-125820.92369273922,-126153.54470529556,-126634.81958717319,-127272.35629051349,-124240.18142986346,-125289.29583392278,-127201.72858973584,-126031.95950981058,79603.66523173047,-125719.55612520537,-125437.34070764635,-125710.11277880223,-126209.12020516036,-124047.07751393571,-126129.7854533903,-126222.44421008635,-127054.48305368445,-126881.89377499033,-124975.61909876784,-125990.88519807236,-125654.81016824135,-126240.89138393708,-125972.25081336907,-125780.39620279994,422550.0009694401,-125689.70393987777,-126166.40024914511,-87952.83342576411,-126195.42321292186,-126179.54038470704,-125896.54562556965,-125521.99693891755
