Company,Industry,Sector
MARUTI,Automobiles-PassengerCars,Automobile
MFSL,Finance;Investments,Finance
MINDTREE,Computers-Software-Medium/Small,IT-Software
MOTHERSUMI,AutoAncillaries,AutoAncillaries
MPHASIS,Computers-Software-Large,IT-Software
MUTHOOTFIN,Finance;Investments,Finance
NATCOPHARM,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
NBCC,Construction,Realty
NHPC,PowerGenerationAndSupply,PowerGeneration;Distribution
NMDC,Mining/Minerals/Metals,Mining;Mineralproducts
NTPC,PowerGenerationAndSupply,PowerGeneration;Distribution
NATIONALUM,AluminiumandAluminiumProducts,NonFerrousMetals
NESTLEIND,,
NAM-INDIA,Finance;Investments,Finance
OBEROIRLTY,Construction,Realty
ONGC,OilDrilling/AlliedServices,CrudeOil;NaturalGas
OIL,OilDrilling/AlliedServices,CrudeOil;NaturalGas
OFSS,Computers-Software-Large,IT-Software
PIIND,Pesticides/Agrochemicals-Indian,AgroChemicals
PNBHOUSING,Finance-Housing,Finance
PAGEIND,,
PETRONET,Miscellaneous,GasDistribution
PFIZER,Pharmaceuticals-Multinational,Pharmaceuticals
PIDILITIND,Chemicals,Chemicals
PEL,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
PFC,Finance-Term-LendingInstitutions,Finance
POWERGRID,PowerGenerationAndSupply,PowerGeneration;Distribution
PRESTIGE,Construction,Realty
PGHH,,
PNB,Banks-PublicSector,Banks
QUESS,Diversified-Large,Diversified
RBLBANK,Banks-PrivateSector,Banks
RECLTD,Finance-Term-LendingInstitutions,Finance
RAJESHEXPO,DiamondCutting/Jewellery,"Diamond,GemsandJewellery"
RELIANCE,Refineries,Refineries
SBILIFE,,
SRF,Textiles-Manmade,Textiles
SHREECEM,Cement-NorthIndia,Cement
SRTRANSFIN,Finance;Investments,Finance
SIEMENS,ElectricEquipment,CapitalGoods-ElectricalEquipment
SBIN,Banks-PublicSector,Banks
SAIL,Steel-Large,Steel
STRTECH,Cables-Telephone,Cables
SUNPHARMA,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
SUNTV,Entertainment/ElectronicMediaSoftware,Entertainment
SYNGENE,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
TVSMOTOR,Automobiles-Motorcycles/Mopeds,Automobile
TCS,Computers-Software-Large,IT-Software
TATACONSUM,Tea,Plantation;PlantationProducts
TATAMTRDVR,,
TATAMOTORS,Automobiles-LCVs/HCVs,Automobile
TATAPOWER,PowerGenerationAndSupply,PowerGeneration;Distribution
TATASTEEL,Steel-Large,Steel
TECHM,Computers-Software-Large,IT-Software
NIACL,Finance;Investments,Insurance
RAMCOCEM,Cement-SouthIndia,Cement
TITAN,DiamondCutting/Jewellery,"Diamond,GemsandJewellery"
TORNTPHARM,Pharmaceuticals-Indian-BulkDrugs;Formln,Pharmaceuticals
TORNTPOWER,PowerGenerationAndSupply,PowerGeneration;Distribution
UPL,Pesticides/Agrochemicals-Indian,AgroChemicals
ULTRACEMCO,Cement-NorthIndia,Cement
UNIONBANK,Banks-PublicSector,Banks
UBL,Breweries;Distilleries,AlcoholicBeverages
MCDOWELL-N,Breweries;Distilleries,AlcoholicBeverages
VGUARD,ElectricEquipment,CapitalGoods-ElectricalEquipment
VARROC,AutoAncillaries,AutoAncillaries
VBL,Food-Processing-Indian,FMCG
VEDL,Mining/Minerals/Metals,Mining;Mineralproducts
IDEA,Telecommunications-ServiceProvider,Telecomm-Service
VOLTAS,Diversified-Mega,Diversified
WHIRLPOOL,DomesticAppliances,ConsumerDurables
WIPRO,Computers-Software-Large,IT-Software
ZEEL,Entertainment/ElectronicMediaSoftware,Entertainment
