Date,ACC,AUBANK,ADANIPORTS,ADANIPOWER,ADANITRANS,ABCAPITAL,ABFRL,AJANTPHARM,ALKEM,AMARAJABAT,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,AUROPHARMA,DMART,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BAJAJHLDNG,BALKRISIND,BANDHANBNK,BANKBARODA,BANKINDIA,BATAINDIA,BERGEPAINT,BEL,BHARATFORG,BHEL,BPCL,BHARTIARTL,INFRATEL,BIOCON,BBTC,BOSCHLTD,BRITANNIA,CESC,CADILAHC,CANBK,CASTROLIND,CHOLAFIN,CIPLA,CUB,COALINDIA,COLPAL,CONCOR,COROMANDEL,CROMPTON,CUMMINSIND,DLF,DABUR,DALBHARAT,DIVISLAB,DRREDDY,EDELWEISS,EICHERMOT,EMAMILTD,ENDURANCE,ENGINERSIN,ESCORTS,EXIDEIND,FEDERALBNK,FORTIS,FCONSUMER,FRETAIL,GAIL,GMRINFRA,GICRE,GLENMARK,GODREJAGRO,GODREJCP,GODREJIND,GODREJPROP,GRAPHITE,GRASIM,GSPL,HEG,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HAVELLS,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HUDCO,HDFC,ICICIBANK,ICICIGI,ICICIPRULI,IDBI,IDFCFIRSTB,ITC,IBULHSGFIN,IBVENTURES,INDIANB,INDHOTEL,IOC,IGL,INDUSINDBK,NAUKRI,INFY,INDIGO,IPCALAB,JSWENERGY,JSWSTEEL,JINDALSTEL,JUBLFOOD,JUBILANT,KOTAKBANK,L&TFH,LTTS,LICHSGFIN,LTI,LT,LUPIN,MRF,MGL,M&MFIN,M&M,MANAPPURAM,MRPL,MARICO,MARUTI,MFSL,MINDTREE,MOTHERSUMI,MPHASIS,MUTHOOTFIN,NATCOPHARM,NBCC,NHPC,NMDC,NTPC,NATIONALUM,NESTLEIND,NAM-INDIA,OBEROIRLTY,ONGC,OIL,OFSS,PIIND,PNBHOUSING,PAGEIND,PETRONET,PFIZER,PIDILITIND,PEL,PFC,POWERGRID,PRESTIGE,PGHH,PNB,QUESS,RBLBANK,RECLTD,RAJESHEXPO,RELIANCE,SBILIFE,SRF,SHREECEM,SRTRANSFIN,SIEMENS,SBIN,SAIL,STRTECH,SUNPHARMA,SUNTV,SYNGENE,TVSMOTOR,TCS,TATACONSUM,TATAMTRDVR,TATAMOTORS,TATAPOWER,TATASTEEL,TECHM,NIACL,RAMCOCEM,TITAN,TORNTPHARM,TORNTPOWER,UPL,ULTRACEMCO,UNIONBANK,UBL,MCDOWELL-N,VGUARD,VARROC,VBL,VEDL,IDEA,VOLTAS,WHIRLPOOL,WIPRO,ZEEL
2020-05-27,163580.05655246013,-192987.9333868217,-168214.3647139373,-375054.4478894237,262987.43044932204,-322456.84851616976,-469044.2085784982,158477.67458772002,207670.9261407824,-444673.70419408905,-231437.22513101142,85004.89807494944,-73538.78957321974,157595.0951438746,-58478.24842736258,166803.40040564112,-47951.997947714815,242404.03871449543,4040.654165975006,303830.1643973493,485997.4971451044,-278461.23814868834,-428885.80337475333,250998.56557195605,160418.0425463689,-186025.28498155982,257398.46381125558,110593.88344638629,-190403.577483258,-280218.40939662186,-95217.57401455741,68396.13126174148,-162676.4194173761,-139571.54599416055,-125603.36211178622,210631.26326322072,44550.89333317934,-185849.21644721614,275898.24988929916,-195302.18453334653,-97286.15701234111,169935.58226747546,233270.9495759478,-303008.73347014375,128569.1382738941,149271.94225829642,374796.34765971353,143980.9138104294,-100210.93808676592,-266874.59040600643,-11431.350740129381,-132242.60242023782,337263.486400143,58294.902912543526,387839.34055362956,-8124.804667302408,-168885.57400696658,97238.33155113026,-387547.3329133994,-44705.65282902729,-152709.327997057,-168631.3427530285,-110577.33392182719,329566.14665738126,225251.50480481857,58294.90291033888,4040.654165971166,-11460.559761615134,268833.77864552144,305502.98253233894,-158722.09207285245,167654.82424238708,-271124.01537170203,-142010.04387833638,116722.55540886143,91041.00156017828,-266064.45308237034,-137501.9195922791,481801.9346097744,-180005.8327726261,319587.32265674596,165346.88121648683,116059.20329494363,237794.15909780658,14667.172725219783,78468.59672897388,-278803.65224254585,139894.6599945129,121221.30953887395,279913.01458247507,-54629.65607119541,192638.88069594133,229910.71814898498,-117829.492177996,276237.8549151934,163870.4980856308,252664.85581985462,-347699.6629528998,66400.0288073394,209700.38592384814,-260770.8237647919,-455709.32035224454,-140637.34249119926,226398.60015410132,190436.0089368273,210776.151837465,-148071.9896223864,89461.96233279289,196396.62699621086,-161022.7396929119,106301.37274619419,-364102.5622995066,171289.82833921356,-141674.61177504537,-94108.97476577644,290001.31992281723,-232312.46066266857,73459.60893501066,-306316.14379996277,166803.40040788573,-241678.95946315472,174970.55605948617,-240508.29997009088,211585.36432927547,-222407.71212848162,390843.1294972395,185534.98900544568,-248030.4430458603,-137549.53519653092,79097.71622190936,-156320.36384717957,-136835.696693378,-198528.80491599475,142974.13115257578,147736.43989759724,-121311.73342349328,264269.2736960698,-220001.35508631662,-209213.17701966187,7568.155431424466,54197.266770948045,204668.14950371618,138894.3590264639,-309288.5120188144,-227592.89126523866,250850.33863430333,130633.90124322739,-216796.01093219017,-267854.41441653785,-217149.74457016145,291380.6517320562,-282996.0687447344,-334821.72251124936,308153.7730488854,324854.96484427305,156742.96489574687,184751.60976754106,239142.39873602713,4040.654165971166,-484247.58455988835,375215.21209353406,186531.02258683433,188647.77686143876,139553.89692014325,166151.20546098947,-29574.4944779185,188165.1298546676,-160513.77662008273,182304.61433380758,259810.68397068363,113702.80788830826,-339483.0470718419,-90491.48775800693,-230277.2890345838,126000.00764517102,-17260.05781431096,-106560.03129126986,-226854.3711417607,-431809.040212179,-359966.52456396015,-342241.5330766798,-281180.76865771273,389271.56002531224,-221143.77772307553,-397873.30006580893,-126191.07051108884,259810.6839447646,163246.33829078864,-363500.0362511911,-59800.14730867242,-107010.45337672895,-250555.0826610245,155199.28381594643,203383.49287405744,230684.153615568,-78474.37998197919,-102512.57511433725,27292.475057345848,419989.89455725095,-249306.17649669177,-79421.07429141848
2020-05-28,-363080.8821349693,-149259.74762776535,-150539.52767003226,-260879.17090764246,197423.20644825412,-233087.68991758974,-298846.1748929131,37414.759704969794,424545.83994715154,-289780.331059795,-225486.38334181946,53538.17041257769,-59056.75745044726,175285.82719410548,-90053.93096365199,127632.23758794315,320330.3217621798,185345.28264085346,30062.917794900968,237486.69861959422,356716.90594564815,-208109.52534798248,-286419.9266512936,189550.91511026613,123656.25394099357,-159152.24537602882,208872.63824159332,139863.83796929836,-147843.2683339786,-395212.1215106349,-69858.55237044147,-454027.64754786994,-125996.7227647291,-124823.57985485667,-312592.90942849475,161155.26200845957,106871.18345195972,-150040.4833318038,264071.0824830583,-150931.2093561859,-69427.86705191252,131200.94625111923,178286.60098593467,-226182.89078235585,178859.6418508331,121289.09113095727,354216.3611479761,344532.4774447001,-74255.19194671347,-437025.1795424415,-72856.7277665959,-192235.56841258303,407127.1655361566,2420.825468459214,266978.21970225044,-49896.62058002891,-195747.18420016006,-282165.9475337117,-115980.35728789071,-277860.83574513154,85160.49272199055,-159907.85867328037,-82036.69018672855,236669.92800766448,407521.00071465847,-457635.2789555065,2420.825468459214,-335505.81925302005,288617.4735897635,225662.90456784083,-308923.50878140767,173439.6532156251,-214862.56838753447,-131054.98833078456,29650.973376139966,90101.29421578148,-216037.5665846043,-197020.27971462367,305772.83744171984,-130756.3843459852,296900.6580395398,141058.04941629182,15484.48743820015,255535.73381331004,33141.42953406684,213701.51898576337,-289056.8158937746,-24862.47522821723,113637.95759197704,281438.2608604695,-33820.02939945765,154700.00870668105,177175.67125796253,-124422.53017402154,219766.92131261763,249020.17595402026,190237.9436475528,-270433.7159685295,70665.75638330891,177553.53538079068,332934.8878587586,-296620.8162311537,-253869.99624702276,173421.41498559367,146074.78209235557,161850.77571655263,-151185.49456671881,94534.09683176373,354228.4347924145,-336063.1453460832,143837.15479563203,-336288.0651948822,131567.8048182229,-46994.82571670246,-150931.2093645023,219705.04353873376,-163613.3963079916,-41007.89715339837,-369004.56504838413,-440268.36749013385,-294301.5035930566,237212.54884096474,-187528.22385691814,163106.5105615768,-388284.72844195523,269918.92575184145,364285.54824284324,-188440.52860440736,-121532.14855980448,51366.58191778957,-154607.97883808886,-109235.7908526868,-159646.18832288455,109526.53251348645,242806.6343076227,-88152.6316540691,298020.4007052769,-169031.96171890624,-162303.65390437882,16055.48445181612,2420.825468463165,285112.44696095376,128228.20198388127,-191988.36159693505,98737.83501074984,189648.9125059259,97525.72016644468,38678.32580975462,-256483.02841596224,-195947.44574089302,302081.38242992415,-150263.4905114502,-340549.41147006064,237905.4070399248,386612.1660983534,58918.94356467641,437802.0732142959,190237.94364876865,-457635.2790920642,-304283.2441999607,267935.33463102387,362944.62066558097,152176.16475960088,83863.79158449906,127134.37711881286,-383398.48476986564,156057.63684168103,181628.51346695705,147928.51615631123,200397.45113990948,345745.27991899877,270786.88641374913,-197650.84929436143,-123241.42548879124,101746.11409990779,-30478.49555960022,-93210.970183657,-199724.18627475633,-236617.51046492174,-253207.7200412732,-259013.95598370142,-156344.85493291143,286787.9038217371,-177108.44192657556,-303797.56840624264,456718.8043696919,199587.72737631417,-85744.63318106899,-342269.7977942758,-32760.544143827214,-80989.64564962153,-216372.99886310045,273680.38388688257,155772.86029959176,187539.16403159872,-30163.936348468727,-74255.19194805896,-277946.85129428376,317434.56036739843,-213561.05131672643,-51027.83952452757
2020-05-29,-384788.54386057623,-131608.1621668577,-137434.4559658927,-220961.31614687847,183882.65296671086,-200406.5496439937,-390026.37769724254,10146.759790865257,325122.23653650313,-332787.08666120534,-215685.37037215906,51905.05635108681,-461374.4612578761,147174.2919659501,-475330.63029288774,103588.99845711219,256943.19943618128,157986.79395869863,96630.64596625979,209229.83272448735,271221.9842392314,-151709.7301201748,-239402.50057227208,159096.27735657134,201537.20054798442,17652.74188411172,325600.8250589654,447874.4811468699,-131142.8182888477,-298344.9994329028,-54919.797376423085,-310236.20390123874,-110155.29683645282,-148720.19528296875,-8704.579436686192,136066.1245340555,101314.4287898233,-149155.7546767729,221269.59232762016,159137.48889065362,-49726.27619563515,70878.8026472687,150833.3644283887,-198709.71763862006,165884.04846638165,-124675.25310067301,287352.29064677644,347303.39649348066,-59489.700226112676,-315304.81781251,-265962.51155851193,-194649.31625625226,296483.23214891925,-484257.10641102114,360301.973259921,-223118.42479865742,-324315.98730011564,-317303.5896692384,16741.45218334075,-319892.53453899693,150822.26555644601,-144818.47366146877,-423956.69862810324,195287.39779724303,374456.31076235196,-323408.4575373238,-1711.1599227079166,-197268.5969136559,231968.6214713699,189451.24775265923,-166507.6020782066,335961.1271319639,-210714.41126722272,-328275.5614801053,-83665.18250287541,300624.7173202068,-204003.47501984736,-159589.33661085577,242258.29431612688,-131933.15045444292,248736.70285356315,142589.05711622786,-270383.0858133087,210669.44906326188,-12311.446282695226,197842.45492665286,-346266.30425832904,-8994.301931132772,352465.9081223779,227486.5994471364,-3310.9511788691852,149405.81185575546,152024.8377486272,-158683.36804177627,189283.56335122872,265162.3428683287,159137.4888992808,-312507.0373537892,80802.45590426882,157986.79395875297,369752.8828616839,-291948.4225301601,-274509.9227274764,171343.91569864898,129004.91392203457,135999.74873302403,-197588.74257841945,-178668.61329928547,346029.9617493509,-139863.66251067424,122597.41531885693,-315808.235745022,-121576.20694425487,14342.519760745743,-133043.53173272932,191160.4518248485,-47810.001256332194,-22882.838754313212,-197345.0402451074,-317611.635062273,-139863.66251001795,415840.70208324166,-139997.07876859483,138245.01217295925,-297153.1526251205,220563.08008952363,275305.95749271323,-166047.2279589919,-250162.75125253916,23685.995154484193,-122139.32919052897,-119431.66549901289,-108492.40592592488,86572.29866607548,435754.93095477246,-15115.213991189592,372837.8756394182,-363711.88273127924,-144998.27399284096,24112.8927360446,-162559.8087506041,239030.0643595403,108444.83356042614,-8576.012968242616,78713.16448828262,159183.71641826315,73649.8558233435,51905.056351867344,-95506.78348704439,-200145.37689950326,288344.0923797349,-135686.29902264784,-269164.1555426232,217236.70586895524,397797.2990429564,35190.05088877514,416186.88432611845,337772.6867373773,-458011.84624156164,-247411.52947698729,223575.01431498138,406432.0208640801,198655.1384547181,24968.697066895897,230042.60130200494,-292579.29101545294,139505.72134222154,173409.64911302584,154070.1125794215,172563.95633228976,286962.6451768085,432614.1248812056,-109604.24221781362,-107526.7406596347,7366.054468705064,-56039.442131369455,-79166.76714799984,-92579.81863734864,-203536.4634840438,-215345.95748725304,-219733.43837684614,-50843.97559697177,237308.36794828743,-156306.70448527383,-248531.3629408516,369254.0340427081,461334.78103977646,-135593.49447850804,-299110.0760703722,-1711.1599228838531,-480455.67687227693,-77446.27087044764,231486.99448549922,129621.21188567879,159881.20611418036,-922.9985839315373,-55327.37619675613,-254473.32235722424,250759.0820553947,-244113.85434935265,-17611.589462714765
2020-06-01,-394623.2859810224,133480.44139618264,-115422.96224011962,-197775.8508794677,263994.31673494045,-180904.2345018917,-301058.40862653265,-38123.06044958661,391561.25612846354,-218661.7828167851,-275386.93503466924,-376474.8266148981,-341345.8903776948,237718.74373141807,-389398.6619918063,65509.13560893268,343808.7636643264,121565.24716522473,195022.37964597615,218674.3294510642,202177.87268317235,-139352.27094772368,-267372.2492891796,117754.1627624136,152103.13293862523,462579.08031726984,236223.85782462324,303215.1994216294,-246727.47905218168,-249588.0837753595,-44086.09948111665,-256571.67672222908,203579.4124625542,-170354.20673835772,-22937.609170785072,100123.81523664856,63548.10032051128,-147287.89924076037,350666.6596129556,146880.1407974002,-312031.1625989878,68118.31381544984,112796.98637240067,-315613.1868736046,138308.67102717076,-380023.44199784315,213086.60465041018,248845.88133783924,-460891.3788541727,-259826.0010556162,-298906.4994396911,-227996.25456869634,218584.90806176368,-447934.41326370544,255301.49728180747,-197812.96861209586,-295102.09098437877,-274264.55207797105,15909.59049622277,-379685.1214924163,144793.61848073805,-143068.72958304553,-325213.79948574374,146880.14081005167,313967.04894890205,-264454.396698637,-15861.869588434241,-179455.19534908363,177351.9329307125,144643.7295450101,-153403.97209604326,255034.44254693508,-194858.19364684742,-379764.0676265184,-146077.00284578672,359194.1499757587,-217189.6135562483,-146345.76501645715,213344.90210588797,-129223.68959483989,237835.6119291727,112476.54040502981,-309057.499994196,161153.1613470219,11920.769404833858,167260.11338266198,-279052.0196599155,-62550.54336521712,253237.70213436178,172668.38835048387,59548.38150029876,115725.06057529054,119267.26734343564,-193774.09345288345,146049.667682021,213124.75481969424,-178603.87998300107,-260201.94017166898,211998.621190837,121565.24716528933,303757.09386109095,-245697.4676266094,-235289.47033378875,127410.63011754326,97342.83070372735,98439.17831220076,83548.63532825376,110384.72034180164,425596.5274544793,110715.2496071343,88495.2583128176,-263282.523256618,-181717.18674319287,51591.14092413521,-215179.31217916543,161704.2212166228,-55740.130569023386,19679.489003494455,-128349.15011164475,-261904.66236965155,110715.24960657951,346401.12102492654,-142763.097265929,103244.33293493539,-312910.3785353072,168023.3425023466,204946.66109152036,-153248.74648510202,-418615.6967003231,-27118.96983529897,63144.17464372098,-134274.0752204214,-113475.20728446169,47721.74316848895,343790.62362276606,221971.27931482613,432520.17774102767,-292737.27543015755,-224177.223857144,22930.23506406406,-148740.16465397898,180570.94267444796,100123.81523694127,-8648.456799662,51713.07213945501,117839.69385765401,463388.6530475169,56918.570019890976,-73693.67207641594,-207655.1681452157,419514.1974586109,-125185.68963530757,-220436.50954532242,211833.3039959412,324502.17742675,-5107.574834058691,320053.1726489623,346401.12102531863,-459230.81099810306,-215179.31218024544,174006.9070452107,342521.8236404571,378444.78144498327,-26073.21150461563,182881.33544332223,-360621.7010972608,138288.91696975674,149638.67642826668,-33112.48818931123,133480.4413963972,318489.34741616074,291046.0736681539,202752.88868838333,-97906.3352643394,9432.091490892064,300719.7394636447,90677.78489815591,-86131.87927524584,-184100.93062819596,-299686.21134001395,-195107.62249841323,65245.81537530402,178875.58314446322,-188670.53354863205,-51188.66536915385,333930.18578147783,305362.0772255898,-151320.14319843834,-318848.23974321684,14358.563068117,-302904.50295404904,-69105.11346494913,183144.86752482914,90677.78489326203,117689.24011592865,31146.312389757386,-15861.869588434241,-232457.86716897096,190076.37353566792,-216463.80514221705,-498384.1298864784
2020-06-02,-234863.6995429403,205267.38843834485,-104447.11444273239,-295085.0681469121,205797.72690537258,68146.511368969,-248294.5773811877,246158.42682260583,312255.2142961759,-191233.93478732632,129076.88993846969,246217.12026111525,-447812.5916306554,219824.4513736209,-205582.15991275612,22319.635503183268,230318.91341070828,41266.47324184665,142305.13775793786,161197.43119891634,141614.55304023687,-125424.20654955288,-312190.0845662716,75189.48966349967,113888.80842709582,282309.1535963423,167805.0861330919,208120.81323851852,-133786.1175494323,-213937.7124031551,-32146.718966761535,-218449.1093062212,249027.9674148578,-213337.6409561674,-23203.134190776593,73089.4867580907,22319.63550502716,-132586.10243525024,235729.93774475929,127655.5372921602,-417911.33341943106,274499.51086936187,111023.55280801984,-258504.25832275348,106064.91973813208,-426780.01226585166,149836.99948792075,176515.0154339098,-303155.8938776514,-220838.8749909275,-247139.86655638975,-217474.34024083812,153479.04105234312,-500612.68776868284,178176.68360055343,-175342.59468274377,-186303.40909891532,-357414.5386570436,91903.79779643647,-293616.88736252236,252589.8239793009,-145590.0286616028,-271267.8895580797,-363827.99392496364,214256.0837053891,-444099.52400323364,-30348.315395685237,64662.21889682799,126573.30639511874,101094.7794426189,-140402.11213570702,265952.5380201049,-174011.76391612948,-493395.7745541628,-182153.50675395963,240692.4171339865,-191340.26977438683,-131884.5252162566,149710.08094594476,18268.254664723954,168110.6772811676,-385124.73052066297,-25272.500356238746,112280.2956676831,-34499.13141354863,117934.23403679248,-292983.9367114876,-109350.2417438158,178518.21238408508,182956.78497016232,169288.13466499723,112571.5468292803,98661.29010434877,-188352.1680920208,105935.14923534906,159287.6552184895,-363827.99392027286,-223393.7216190611,220996.98439520717,117091.23374721016,208531.0562754778,-211355.11988096504,-205028.14700358865,230004.67861994816,-30348.31539570572,62116.44550932745,88569.7624541773,347952.2002417092,267524.01295750524,297689.3287517206,-484256.89259484777,-422233.3317029752,-199590.19331322753,81998.99296518105,343448.0813799474,124808.38783439134,-51775.84926167332,12117.630566433372,-116906.97606075414,-347776.00364986644,385166.03385748493,231770.36638383337,-129023.39697466957,16817.597493455432,-255949.60214221478,117344.72247105686,143692.96437478153,-193501.81575890127,-313098.1653905766,-434135.93895446364,159735.58327182388,-486466.1498318567,105794.19326646591,22319.635492288187,304411.2311436687,284275.2059211599,334925.7806870122,-373738.60982555686,205932.75887634992,-50192.03344866624,-346356.02079642896,126241.60414501328,138564.90820299042,-8271.396165574399,60669.096274602896,75286.02150430033,285659.38999805105,181636.09780829377,-62703.577608536536,-188352.1680921849,353486.9986623135,-112586.70398594803,-192854.39747841435,151246.49443531933,303961.5753353356,-57445.752579997534,305052.87871404196,233716.89434220965,-380104.75291768997,-188352.1680928475,120625.95698027698,297891.23220268957,246791.48274606068,374957.6280768123,146549.5604675011,-294648.72881905304,245873.40529903866,120032.57890726074,217548.524029971,-169373.1703566722,216005.47866077183,272206.028006156,144527.8124471519,-84197.83884605141,-93804.189658861,213123.57074091258,437054.18369341874,-77044.8106224468,-2561.265753021018,-271746.69561854773,-173001.5855916497,193199.92320506746,364462.2572354941,-133064.44471562098,-42878.8359887234,301009.53521634074,208757.1607940638,-166761.55052952137,-140492.27583868094,-271703.1870979434,125828.02913248332,-56139.15365154374,135086.8105141366,48653.61095100045,214106.9386318527,282418.3113895407,-504359.87357571244,-211710.19006143522,134988.3586179128,-189631.5724012537,-345876.3536820039
